% Model,контактор_нагрев_по_времени__3сек.mph
% Version,COMSOL 6.4.0.293
% Date,"Sep 23 2026, 21:17"
% Dimension,1
% Nodes,68
% Expressions,1
% Description,Table graph
% ,
0,20.03684712326907
0.0050999,20.580616345173325
0.010099799999999999,20.939207683080895
0.0200996,21.57797949562081
0.0400992,22.572711157610684
0.0800984,24.134217816491116
0.1600968,26.34205875416677
0.2400952,27.941217471743812
0.257494852,28.263474475373243
0.274894504,28.560986807818438
0.292294156,28.837362717086478
0.30969380799999996,29.09557492367128
0.32709345999999995,29.335671911863926
0.34449311199999993,29.559448462391458
0.36189276399999987,29.7685290357727
0.36624267699999985,29.81983405492548
0.37059258999999983,29.8701725342342
0.3749425029999998,29.919804276285788
0.3792924159999998,29.968360250665796
0.3879922419999998,30.062999552947133
0.4053918939999998,30.23811758742937
0.4401911979999998,30.546558997912598
0.5097898059999998,31.02955306854443
0.6097898059999999,31.526397945423298
0.7097898059999999,31.88135276235846
0.8097898059999998,32.13441489106003
0.9097898059999999,32.3332847691546
1.009789806,32.476180781407095
1.1097898059999998,32.57271669475148
1.2097898059999999,32.637651535792884
1.309789806,32.680448331282435
1.4097898059999998,32.70832174538788
1.509789806,32.726416482697175
1.6097898059999998,32.737951609728555
1.7097898059999999,32.74544700365033
1.809789806,32.750187794235956
1.9097898059999998,32.75273723625867
2.0097898059999997,32.75450376311301
2.1097898059999998,32.75579608651611
2.209789806,32.75678646818136
2.309789806,32.757362354914164
2.409789806,32.75783336465389
2.5097898059999997,32.75812074472407
2.6097898059999998,32.758343396330076
2.709789806,32.75853753003605
2.809789806,32.75863569901634
2.909789806,32.7587326925393
3.0097898059999997,32.758776081414055
3.1097898059999998,32.758802057624735
3.209789806,32.75884484944936
3.309789806,32.75884694741109
3.409789806,32.75885741975674
3.5097898059999997,32.75886512082258
3.6097898059999998,32.75886485120549
3.709789806,32.75888017653483
3.809789806,32.758880262420234
3.909789806,32.75887889666177
4.009789806,32.75889180093526
4.109789806,32.75888639838968
4.209789806,32.75888623722858
4.3097898059999995,32.758886675593374
4.409789806,32.75888358771999
4.509789806,32.75888982815928
4.609789806,32.75888890968224
4.709789806,32.75888719599595
4.8097898059999995,32.75889348943872
4.909789806,32.75889025583467
5.009789806,32.75888955869624
